,title,sponsers,texts
222,Obamacare Replacement Act,"[None, Sen. Paul, Rand [R-KY]]","This bill amends the Internal Revenue Code, the Public Health Service Act, the Employee Retirement Income Security Act of 1974 (ERISA), and the Social Security Act to repeal certain provisions regarding health insurance, including: the requirement for individuals to maintain minimum essential coverage, limitations on insurers varying premiums by age or health status, requirements for health insurance to cover preexisting conditions and the essential health benefits, and the prohibition on lifetime or annual limits on benefits."
223,Senior$afe Act of 2017,"[Sen. Collins, Susan M. [R-ME], Sen. McCaskill, Claire [D-MO], Sen. Isakson, Johnny [R-GA], Sen. Casey, Robert P., Jr. [D-PA], Sen. Tillis, Thom [R-NC], Sen. Klobuchar, Amy [D-MN], Sen. Wicker, Roger F. [R-MS], Sen. Shaheen, Jeanne [D-NH], Sen. Capito, Shelley Moore [R-WV], Sen. Tester, Jon [D-MT], Sen. Barrasso, John [R-WY], Sen. Donnelly, Joe [D-IN], Sen. Heller, Dean [R-NV], Sen. King, Angus S., Jr. [I-ME], Sen. Kaine, Tim [D-VA], Sen. Boozman, John [R-AR], Sen. Fischer, Deb [R-NE], Sen. Perdue, David [R-GA], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Coons, Christopher A. [D-DE], Sen. Burr, Richard [R-NC], Sen. Peters, Gary C. [D-MI], Sen. Cotton, Tom [R-AR], Sen. Hassan, Margaret Wood [D-NH], Sen. Murray, Patty [D-WA], Sen. Ernst, Joni  [R-IA], Sen. Scott, Tim [R-SC], Sen. Hirono, Mazie K. [D-HI], Sen. Hoeven, John [R-ND], Sen. Hatch, Orrin G. [R-UT], Sen. Daines, Steve [R-MT]]","This bill extends immunity from liability to certain individuals who, in good faith and with reasonable care, disclose the suspected exploitation of a senior citizen to a regulatory or law-enforcement agency. Specifically, this immunity shall apply to certain credit-union, depository-institution, investment-adviser, broker-dealer, insurance-company, and insurance-agency employees who have received specified training related to identifying and reporting the suspected exploitation of a senior citizen. Similarly, the employing financial institution shall not be liable with respect to disclosures made by such employees. "
224,Child Interstate Abortion Notification Act,"[Sen. Rubio, Marco [R-FL], Sen. Hatch, Orrin G. [R-UT], Sen. Cruz, Ted [R-TX], Sen. Blunt, Roy [R-MO], Sen. Daines, Steve [R-MT], Sen. Cassidy, Bill [R-LA], Sen. Cochran, Thad [R-MS], Sen. Inhofe, James M. [R-OK], Sen. Lankford, James [R-OK], Sen. Roberts, Pat [R-KS], Sen. Scott, Tim [R-SC], Sen. Graham, Lindsey [R-SC], Sen. Grassley, Chuck [R-IA], Sen. Thune, John [R-SD], Sen. Perdue, David [R-GA], Sen. Rounds, Mike  [R-SD], Sen. Wicker, Roger F. [R-MS], Sen. Enzi, Michael B. [R-WY]]","This bill amends the federal criminal code to make it a crime to knowingly transport a minor to another state to obtain an abortion without satisfying a parental involvement law in the minor's resident state. A parental involvement law requires parental consent or notification, or judicial authorization, for a minor to obtain an abortion. "
225,Mount Hood Cooper Spur Land Exchange Clarification Act,"[Sen. Wyden, Ron [D-OR], Sen. Merkley, Jeff [D-OR]]", This bill amends the Omnibus Public Land Management Act of 2009 to revise details of the Cooper Spur-Government Camp land exchange between the United States and Oregon. 
226,"A bill to exclude power supply circuits, drivers, and devices to be connected to, and power, light-emitting diodes or organic light-emitting diodes providing illumination or ceiling fans using direct current motors from energy conservation standards for external power supplies.","[Sen. Portman, Rob [R-OH], Sen. Shaheen, Jeanne [D-NH], Sen. Cantwell, Maria [D-WA]]","(Sec. 1) This bill amends the Energy Policy and Conservation Act to exclude from energy conservation standards for external power supplies any power supply circuit, driver, or device designed to power light-emitting diodes (commonly known as LEDs) or to power ceiling fans using direct current motors. The Department of Energy may prescribe new energy conservation standards for that equipment no earlier than one year after the date on which a test procedure has been prescribed."
227,Iran Nonnuclear Sanctions Act of 2017,"[Sen. Rubio, Marco [R-FL], Sen. Young, Todd C. [R-IN], Sen. Cornyn, John [R-TX]]","This bill prescribes requirements for sanctions with respect to: (1) Iran's Revolutionary Guard Corps (IRGC) and related entities; (2) Mahan Air; (3) Iran's support of terrorism; (4) Iran's human rights abuses; (5) certain Iranian individuals; (6) persons who conduct transactions with or on behalf of certain Iranian individuals; (7) financial institutions that engage in certain transactions on behalf of persons involved in human rights abuses or that export sensitive technology to Iran; (8) Iran's ballistic missile program and persons and Iranian sectors that support such program; and (9) certain entities owned by the Aerospace Industries Organization, the Shahid Hemmat Industrial Group, or the Shahid Bakeri Industrial Group."
228,Small Business Broadband Deployment Act of 2017,"[None, Sen. Daines, Steve [R-MT]]","This bill exempts for five years any small business broadband Internet access service provider with no more than 250,000 subscribers from the enhancements to the transparency rule of the Federal Communications Commission (FCC) under which any person engaged in the provision of broadband Internet access service must disclose publicly accurate information regarding the network management practices, performance, and commercial terms of its broadband Internet access services sufficient for:"
229,Protect DREAMer Confidentiality Act of 2017,"[Sen. Udall, Tom [D-NM], Sen. Van Hollen, Chris [D-MD], Sen. Booker, Cory A. [D-NJ], Sen. Harris, Kamala D. [D-CA], Sen. Wyden, Ron [D-OR], Sen. Reed, Jack [D-RI], Sen. Warren, Elizabeth [D-MA], Sen. Merkley, Jeff [D-OR], Sen. Carper, Thomas R. [D-DE], Sen. Murphy, Christopher [D-CT], Sen. Whitehouse, Sheldon [D-RI], None, Sen. Heinrich, Martin [D-NM]]","This bill directs the Department of Homeland Security (DHS) to protect individual application information submitted to DHS after June 15, 2012, as part of a request for consideration or reconsideration for the Deferred Action for Childhood Arrivals (DACA) program from disclosure to U.S. Immigration and Customs Enforcement (ICE) or U.S. Customs and Border Protection (CBP) for any purpose other than implementing such program. Such information may be shared with national security and law enforcement agencies: (1) to identify or prevent fraudulent claims, (2) for national security purposes relating to an individual application, or (3) for the investigation or prosecution of a felony not related to immigration status."
230,Capitalizing on American Methane Act of 2017,"[None, Sen. Cassidy, Bill [R-LA]]"," This bill amends the Internal Revenue Code to: (1) include in the tax credit for investment in a qualifying gasification project any qualified methane conversion technology, and (2) allow an alternative fuel excise tax credit for liquid fuel produced through qualified methane conversion technology at a facility the construction of which begins before October 1, 2027. The bill defines ""qualified methane conversion technology"" as a process for the molecular conversion of a fuel consisting principally of methane into hydrocarbons and the use of such hydrocarbons to replace or reduce the quantity of petroleum present in motor vehicle fuel and for the production of chemicals."
231,Life at Conception Act of 2017,"[Sen. Paul, Rand [R-KY], Sen. Risch, James E. [R-ID], Sen. Rounds, Mike  [R-SD], Sen. Crapo, Mike [R-ID], Sen. Scott, Tim [R-SC], Sen. Thune, John [R-SD], Sen. Perdue, David [R-GA], Sen. Inhofe, James M. [R-OK], Sen. Boozman, John [R-AR], Sen. Kennedy, John [R-LA], Sen. Wicker, Roger F. [R-MS], Sen. Hoeven, John [R-ND]]","This bill declares that the right to life guaranteed by the Constitution is vested in each human being at all stages of life, including the moment of fertilization, cloning, or other moment at which an individual comes into being. "
232,A bill to terminate the EB-5 Visa Program and to reallocate the employment creation visas to the other employment-based visa classifications.,"[Sen. Feinstein, Dianne [D-CA], Sen. Grassley, Chuck [R-IA], Sen. Durbin, Richard J. [D-IL]]"," The number of fiscal year immigrant visas available for the following employment categories is increased: (1) priority workers; (2) members of the professions with advanced degrees or persons of exceptional ability; (3) skilled workers, professionals, and certain unskilled workers; and (4) certain special immigrants."
233,Providing Veterans Overdue Care Act of 2017,"[Sen. Warren, Elizabeth [D-MA], Sen. Burr, Richard [R-NC], Sen. Rubio, Marco [R-FL], Sen. Tester, Jon [D-MT], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Markey, Edward J. [D-MA], Sen. Tillis, Thom [R-NC], Sen. Nelson, Bill [D-FL], Sen. Gardner, Cory [R-CO], Sen. Stabenow, Debbie [D-MI], Sen. King, Angus S., Jr. [I-ME], Sen. Kaine, Tim [D-VA], Sen. Bennet, Michael F. [D-CO], Sen. Daines, Steve [R-MT], Sen. Peters, Gary C. [D-MI], Sen. Van Hollen, Chris [D-MD], None, Sen. Warner, Mark R. [D-VA]]",This bill authorizes the Department of Veterans Affairs to carry out major medical facility leases in specified amounts for:
234,End Outsourcing Act,"[Sen. Brown, Sherrod [D-OH], Sen. Peters, Gary C. [D-MI], Sen. Stabenow, Debbie [D-MI], Sen. Schumer, Charles E. [D-NY], Sen. Baldwin, Tammy [D-WI], None, Sen. Donnelly, Joe [D-IN]]","This bill modifies provisions of tax, labor, and federal contracting laws related to the outsourcing of jobs. "
235,CHOICE Act,"[Sen. Scott, Tim [R-SC], Sen. McConnell, Mitch [R-KY], Sen. Alexander, Lamar [R-TN], Sen. Cornyn, John [R-TX], Sen. Cruz, Ted [R-TX], Sen. Hatch, Orrin G. [R-UT], Sen. Wicker, Roger F. [R-MS], Sen. Boozman, John [R-AR], Sen. Rubio, Marco [R-FL], Sen. Strange, Luther [R-AL]]","This bill amends the Scholarships for Opportunity and Results Act to include among the eligibility criteria for opportunity scholarships, a requirement that a student in Washington, DC is enrolled, or will be enrolled for the next school year, in a public or private elementary or secondary school. (Opportunity scholarships are provided to low-income DC students to enable them to attend a participating private school of their choice.)"
236,Craft Beverage Modernization and Tax Reform Act of 2017,"[Sen. Carper, Thomas R. [D-DE], Sen. Roberts, Pat [R-KS], Sen. Stabenow, Debbie [D-MI], Sen. Moran, Jerry [R-KS], Sen. Casey, Robert P., Jr. [D-PA], Sen. Portman, Rob [R-OH], Sen. Bennet, Michael F. [D-CO], Sen. Capito, Shelley Moore [R-WV], Sen. Baldwin, Tammy [D-WI], Sen. Gardner, Cory [R-CO], Sen. Johnson, Ron [R-WI], Sen. Klobuchar, Amy [D-MN], Sen. Menendez, Robert [D-NJ], Sen. Tillis, Thom [R-NC], Sen. Feinstein, Dianne [D-CA], Sen. Cantwell, Maria [D-WA], Sen. Shaheen, Jeanne [D-NH], Sen. Merkley, Jeff [D-OR], Sen. Peters, Gary C. [D-MI], Sen. Murray, Patty [D-WA], Sen. Wicker, Roger F. [R-MS], Sen. Ernst, Joni  [R-IA], Sen. Leahy, Patrick J. [D-VT], Sen. Coons, Christopher A. [D-DE], Sen. Boozman, John [R-AR], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Murkowski, Lisa [R-AK], Sen. Murphy, Christopher [D-CT], Sen. Booker, Cory A. [D-NJ], Sen. King, Angus S., Jr. [I-ME], Sen. Hoeven, John [R-ND], Sen. Duckworth, Tammy [D-IL], Sen. Hassan, Margaret Wood [D-NH], Sen. Hirono, Mazie K. [D-HI], Sen. Kennedy, John [R-LA], Sen. Tester, Jon [D-MT], Sen. Udall, Tom [D-NM], Sen. Cochran, Thad [R-MS], Sen. Barrasso, John [R-WY], Sen. Isakson, Johnny [R-GA], Sen. Brown, Sherrod [D-OH], Sen. Heinrich, Martin [D-NM], Sen. Sullivan, Dan  [R-AK], Sen. Young, Todd C. [R-IN], Sen. Daines, Steve [R-MT], Sen. Heitkamp, Heidi [D-ND], Sen. Strange, Luther [R-AL], Sen. Cortez Masto, Catherine  [D-NV], Sen. Inhofe, James M. [R-OK], Sen. Harris, Kamala D. [D-CA], Sen. Graham, Lindsey [R-SC], Sen. Toomey, Pat [R-PA], Sen. Heller, Dean [R-NV], Sen. Smith, Tina  [D-MN], None, Sen. Wyden, Ron [D-OR]]","This bill amends the Internal Revenue Code, with respect to the tax treatment of certain alcoholic beverages, to: "
237,Lawsuit Abuse Reduction Act of 2017,"[None, Sen. Grassley, Chuck [R-IA]]","This bill amends the sanctions provisions in Rule 11 of the Federal Rules of Civil Procedure to require the court to impose an appropriate sanction on any attorney, law firm, or party that has violated, or is responsible for the violation of, the rule with regard to representations to the court. Any sanction must compensate parties injured by the conduct in question."
238,"A bill to authorize the President to award the Medal of Honor to James Megellas, formerly of Fond du Lac, Wisconsin, and currently of Colleyville, Texas, for acts of valor on January 28th, 1945, during the Battle of the Bulge in World War II.","[Sen. Cornyn, John [R-TX], None, Sen. Johnson, Ron [R-WI]]",NA
239,"S. 239, Energy Savings Through Public-Private Partnerships Act of 2017","[Sen. Portman, Rob [R-OH], Sen. Shaheen, Jeanne [D-NH], None, Sen. Gardner, Cory [R-CO]]","This bill amends the National Energy Conservation Policy Act to revise requirements for energy savings performance contracts and utility energy service contracts (performance contracts). These contracts allow federal agencies to work with private contractors on energy efficiency upgrades to federal facilities, unless the facilities are dams, reservoirs, or hydropower facilities owned or operated by federal agencies."
240,A bill to nullify the effect of the recent Executive order that temporarily restricted individuals from certain countries from entering the United States.,"[Sen. Durbin, Richard J. [D-IL], Sen. Klobuchar, Amy [D-MN], Sen. Blumenthal, Richard [D-CT], Sen. Wyden, Ron [D-OR], Sen. Cantwell, Maria [D-WA], Sen. Udall, Tom [D-NM], Sen. Van Hollen, Chris [D-MD], Sen. Murphy, Christopher [D-CT], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Merkley, Jeff [D-OR], Sen. Carper, Thomas R. [D-DE], Sen. Sanders, Bernard [I-VT], Sen. Markey, Edward J. [D-MA], Sen. Baldwin, Tammy [D-WI], Sen. Cardin, Benjamin L. [D-MD], Sen. Heinrich, Martin [D-NM], Sen. Hassan, Margaret Wood [D-NH], Sen. Brown, Sherrod [D-OH], Sen. Stabenow, Debbie [D-MI], Sen. Cortez Masto, Catherine  [D-NV], Sen. Kaine, Tim [D-VA], Sen. Harris, Kamala D. [D-CA], Sen. Leahy, Patrick J. [D-VT], Sen. Peters, Gary C. [D-MI], Sen. Coons, Christopher A. [D-DE], Sen. Menendez, Robert [D-NJ], Sen. Murray, Patty [D-WA], Sen. Booker, Cory A. [D-NJ], Sen. Whitehouse, Sheldon [D-RI], Sen. Franken, Al [D-MN], Sen. Hirono, Mazie K. [D-HI], Sen. Warren, Elizabeth [D-MA], Sen. King, Angus S., Jr. [I-ME], Sen. Casey, Robert P., Jr. [D-PA], Sen. Warner, Mark R. [D-VA], Sen. Reed, Jack [D-RI], Sen. Schatz, Brian [D-HI], Sen. Bennet, Michael F. [D-CO], Sen. Duckworth, Tammy [D-IL], Sen. Shaheen, Jeanne [D-NH], Sen. Heitkamp, Heidi [D-ND], Sen. Nelson, Bill [D-FL], Sen. Tester, Jon [D-MT], Sen. Donnelly, Joe [D-IN], Sen. McCaskill, Claire [D-MO], None, Sen. Feinstein, Dianne [D-CA]]",NA
241,Protect Funding for Women's Health Care Act,"[Sen. Ernst, Joni  [R-IA], Sen. Cornyn, John [R-TX], Sen. Cruz, Ted [R-TX], Sen. Blunt, Roy [R-MO], Sen. Roberts, Pat [R-KS], Sen. Scott, Tim [R-SC], Sen. Paul, Rand [R-KY], Sen. Lankford, James [R-OK], Sen. Moran, Jerry [R-KS], Sen. Rubio, Marco [R-FL], Sen. Daines, Steve [R-MT], Sen. Hoeven, John [R-ND], Sen. Sullivan, Dan  [R-AK], Sen. Sasse, Ben  [R-NE], Sen. Fischer, Deb [R-NE], Sen. Crapo, Mike [R-ID], Sen. Kennedy, John [R-LA], Sen. Lee, Mike [R-UT], Sen. Risch, James E. [R-ID], Sen. Wicker, Roger F. [R-MS], Sen. Inhofe, James M. [R-OK], Sen. Corker, Bob [R-TN], Sen. Grassley, Chuck [R-IA], Sen. Graham, Lindsey [R-SC], Sen. Enzi, Michael B. [R-WY], Sen. Perdue, David [R-GA], Sen. Cotton, Tom [R-AR], Sen. Rounds, Mike  [R-SD], Sen. Strange, Luther [R-AL]]","This bill prohibits federal funding of Planned Parenthood Federation of America or its affiliates, subsidiaries, successors, or clinics."
242,WINGMAN Act,"[Sen. Cassidy, Bill [R-LA], Sen. Johnson, Ron [R-WI], Sen. Klobuchar, Amy [D-MN], Sen. Cotton, Tom [R-AR], Sen. Rounds, Mike  [R-SD], Sen. Sullivan, Dan  [R-AK], Sen. Boozman, John [R-AR], Sen. Perdue, David [R-GA], Sen. Tillis, Thom [R-NC], Sen. Paul, Rand [R-KY], Sen. Thune, John [R-SD], Sen. Blunt, Roy [R-MO], Sen. Kennedy, John [R-LA], Sen. Brown, Sherrod [D-OH]]",This bill directs the Department of Veterans Affairs (VA) to provide each veteran who submits a claim for VA benefits with an opportunity to permit a covered congressional employee in the office of the veteran's Member of Congress to have read-only access to all of the veteran's records in the Veterans Benefits Administration databases. A Member may designate up to two such covered congressional employees.
243,Rural Hospital Regulatory Relief Act of 2017,"[Sen. Thune, John [R-SD], Sen. Heitkamp, Heidi [D-ND], Sen. Hoeven, John [R-ND], Sen. Tester, Jon [D-MT], Sen. Rounds, Mike  [R-SD], Sen. Jones, Doug  [D-AL]]",This bill amends title XVIII (Medicare) of the Social Security Act to permanently extend the application by the Centers for Medicare & Medicaid Services of an instruction against the enforcement of certain physician supervision requirements with respect to outpatient therapeutic services in critical access hospitals and small rural hospitals.
244,Davis-Bacon Repeal Act,"[Sen. McCain, John [R-AZ], Sen. Cornyn, John [R-TX], Sen. Scott, Tim [R-SC], Sen. Flake, Jeff [R-AZ], Sen. Perdue, David [R-GA], Sen. Johnson, Ron [R-WI], Sen. Alexander, Lamar [R-TN], Sen. Rubio, Marco [R-FL], Sen. Thune, John [R-SD], Sen. Risch, James E. [R-ID], Sen. Strange, Luther [R-AL], None, Sen. Lee, Mike [R-UT]]"," This bill repeals the Davis-Bacon Act (which requires that the locally prevailing wage rate be paid to various classes of laborers and mechanics working under federally-financed or federally-assisted contracts for construction, alteration, and repair of public buildings or public works)."
245,"S. 245, Indian Tribal Energy Development and Self-Determination Act Amendments of 2017","[Sen. Hoeven, John [R-ND], Sen. Barrasso, John [R-WY], Sen. McCain, John [R-AZ], Sen. Lankford, James [R-OK], Sen. Moran, Jerry [R-KS], Sen. Heitkamp, Heidi [D-ND], Sen. Enzi, Michael B. [R-WY], Sen. Gardner, Cory [R-CO]]"," This bill amends the Energy Policy Act of 1992 to revise the Department of Energy (DOE) Indian energy education planning and management assistance program, including to make intertribal organizations eligible for grants."
246,Campus Fire Safety Education Act of 2017,"[Sen. Menendez, Robert [D-NJ]]"," This bill directs the Department of Education (ED) to establish a program to award grants, on a competitive basis, to institutions of higher education or consortiums of such institutions, in a collaborative partnership with a nonprofit organization or a public safety department (eligible entity), for: (1) initiating, expanding, or improving fire safety education programs; and (2) increasing fire safety awareness among enrolled students. "
247,Bring Jobs Home Act,"[Sen. Stabenow, Debbie [D-MI], Sen. Whitehouse, Sheldon [D-RI], Sen. Baldwin, Tammy [D-WI], Sen. Shaheen, Jeanne [D-NH], Sen. Reed, Jack [D-RI], Sen. Blumenthal, Richard [D-CT], Sen. Klobuchar, Amy [D-MN], Sen. Brown, Sherrod [D-OH], Sen. Durbin, Richard J. [D-IL], Sen. McCaskill, Claire [D-MO], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Peters, Gary C. [D-MI], Sen. Menendez, Robert [D-NJ], Sen. Franken, Al [D-MN], Sen. Casey, Robert P., Jr. [D-PA], Sen. Feinstein, Dianne [D-CA], Sen. Donnelly, Joe [D-IN], Sen. Warren, Elizabeth [D-MA]]","This bill amends the Internal Revenue Code to: (1) grant business taxpayers a tax credit for up to 20% of insourcing expenses incurred for eliminating a business located outside the United States and  relocating it within the United States, and (2) deny a tax deduction for outsourcing expenses incurred in relocating a U.S. business outside the United States. The bill requires an increase in the taxpayer's employment of full-time employees in the United States in order to claim the tax credit for insourcing expenses."
248,A bill to block implementation of the Executive order that restricts individuals from certain countries from entering the United States.,"[Sen. Murphy, Christopher [D-CT], Sen. Cantwell, Maria [D-WA], Sen. Merkley, Jeff [D-OR], Sen. Blumenthal, Richard [D-CT], Sen. Coons, Christopher A. [D-DE], Sen. Schatz, Brian [D-HI], Sen. Baldwin, Tammy [D-WI], Sen. Van Hollen, Chris [D-MD], Sen. Booker, Cory A. [D-NJ], Sen. Murray, Patty [D-WA], Sen. Carper, Thomas R. [D-DE], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Leahy, Patrick J. [D-VT], Sen. Markey, Edward J. [D-MA], Sen. Sanders, Bernard [I-VT]]",NA
249,"A bill to provide that the pueblo of Santa Clara may lease for 99 years certain restricted land, and for other purposes.","[None, Sen. Udall, Tom [D-NM]]","(Sec. 1) This bill amends the Indian Long-Term Leasing Act to expand the land of the Pueblo of Santa Clara and Ohkay Owingeh pueblo that may be leased for up to 99 years with the approval of the Department of the Interior, from lands held in trust, to all of the lands of the Pueblo of Santa Clara and Ohkay Owingeh pueblo."
250,"A bill to prohibit any hiring freeze from affecting any Department of Defense position at, or in support of, a public shipyard.","[Sen. Shaheen, Jeanne [D-NH], Sen. Hirono, Mazie K. [D-HI], Sen. Cantwell, Maria [D-WA], None, Sen. Schatz, Brian [D-HI]]",NA
251,Protecting Medicare from Executive Action Act of 2017,"[Sen. Stabenow, Debbie [D-MI], Sen. Schatz, Brian [D-HI], Sen. Brown, Sherrod [D-OH], Sen. Leahy, Patrick J. [D-VT], Sen. Peters, Gary C. [D-MI], Sen. Nelson, Bill [D-FL], Sen. Cardin, Benjamin L. [D-MD], Sen. Hirono, Mazie K. [D-HI], Sen. Duckworth, Tammy [D-IL], Sen. Tester, Jon [D-MT], Sen. Heitkamp, Heidi [D-ND], Sen. Casey, Robert P., Jr. [D-PA], Sen. Donnelly, Joe [D-IN], None, Sen. Wyden, Ron [D-OR]]","This bill amends the Patient Protection and Affordable Care Act (PPACA) to terminate the Independent Payment Advisory Board (IPAB). Under PPACA, the IPAB is tasked with developing proposals to reduce the per capita rate of growth in Medicare spending."
252,Medicare Drug Savings Act of 2017,"[Sen. Durbin, Richard J. [D-IL], Sen. King, Angus S., Jr. [I-ME], Sen. Reed, Jack [D-RI], Sen. Blumenthal, Richard [D-CT], Sen. Brown, Sherrod [D-OH], Sen. Stabenow, Debbie [D-MI], Sen. Sanders, Bernard [I-VT], Sen. Baldwin, Tammy [D-WI], Sen. Hirono, Mazie K. [D-HI], Sen. Udall, Tom [D-NM], Sen. Franken, Al [D-MN], Sen. Klobuchar, Amy [D-MN], Sen. Whitehouse, Sheldon [D-RI], Sen. Shaheen, Jeanne [D-NH], None, Sen. Nelson, Bill [D-FL]]",This bill requires drug manufacturers to issue rebates to the Centers for Medicare & Medicaid Services (CMS) for prescription drugs dispensed to eligible low-income individuals under the Medicare prescription drug benefit or a Medicare Advantage (MA) prescription drug plan (PDP).
253,Medicare Access to Rehabilitation Services Act of 2017,"[Sen. Cardin, Benjamin L. [D-MD], Sen. Collins, Susan M. [R-ME], Sen. Casey, Robert P., Jr. [D-PA], Sen. Heller, Dean [R-NV], Sen. Reed, Jack [D-RI], Sen. Whitehouse, Sheldon [D-RI], Sen. Leahy, Patrick J. [D-VT], Sen. Grassley, Chuck [R-IA], Sen. Warren, Elizabeth [D-MA], Sen. King, Angus S., Jr. [I-ME], Sen. Brown, Sherrod [D-OH], Sen. Coons, Christopher A. [D-DE], Sen. Stabenow, Debbie [D-MI], Sen. Capito, Shelley Moore [R-WV], Sen. Blunt, Roy [R-MO], Sen. Shaheen, Jeanne [D-NH], Sen. Gardner, Cory [R-CO], Sen. Merkley, Jeff [D-OR], Sen. Murphy, Christopher [D-CT], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Blumenthal, Richard [D-CT], Sen. Hirono, Mazie K. [D-HI], Sen. Graham, Lindsey [R-SC], Sen. Tester, Jon [D-MT], Sen. Klobuchar, Amy [D-MN], Sen. Wicker, Roger F. [R-MS], Sen. Markey, Edward J. [D-MA], Sen. Hassan, Margaret Wood [D-NH], Sen. Duckworth, Tammy [D-IL], Sen. Van Hollen, Chris [D-MD], Sen. Bennet, Michael F. [D-CO], Sen. Heinrich, Martin [D-NM], Sen. Cassidy, Bill [R-LA], Sen. Moran, Jerry [R-KS], Sen. Murkowski, Lisa [R-AK], Sen. Boozman, John [R-AR], Sen. Baldwin, Tammy [D-WI], Sen. Nelson, Bill [D-FL]]","This bill repeals existing caps on Medicare payment for certain outpatient physical-therapy services and speech-language pathology services. Under current law, annual payment for such services is capped at $1,980 in 2017, with specified percentage increases to that limit in subsequent years."
254,Esther Martinez Native American Languages Preservation Act,"[Sen. Heitkamp, Heidi [D-ND], Sen. Tester, Jon [D-MT], Sen. Franken, Al [D-MN], Sen. Heinrich, Martin [D-NM], Sen. Schatz, Brian [D-HI], Sen. Van Hollen, Chris [D-MD], None, Sen. Udall, Tom [D-NM], None, Sen. Hoeven, John [R-ND]]", This bill amends the Native American Programs Act of 1974 to reauthorize through FY2022 and revise a grant program administered by the Administration for Native Americans at the Department of Health and Human Services to ensure the survival and continuing vitality of Native American languages.
255,FAIR Act,"[Sen. Schatz, Brian [D-HI], Sen. Brown, Sherrod [D-OH], Sen. Murray, Patty [D-WA], Sen. Cardin, Benjamin L. [D-MD], Sen. Van Hollen, Chris [D-MD], Sen. Kaine, Tim [D-VA], Sen. Warner, Mark R. [D-VA], Sen. Merkley, Jeff [D-OR]]","This bill increases by 3.2% in FY2018 the rate of basic pay for federal employees under the statutory pay systems (relating to the General Schedule, the U.S. Foreign Service, and the Veterans Health Administration) and for prevailing rate employees. "
256,SOAR to Health and Wellness Act of 2017,"[Sen. Heitkamp, Heidi [D-ND], Sen. Collins, Susan M. [R-ME], Sen. Klobuchar, Amy [D-MN], Sen. Cornyn, John [R-TX], Sen. Blumenthal, Richard [D-CT], Sen. Warren, Elizabeth [D-MA], Sen. Shaheen, Jeanne [D-NH]]","This bill directs the Department of Health and Human Services (HHS) to replace the existing Stop, Observe, Ask, and Respond to Health and Wellness Training (or SOAR to Health and Wellness Training) program with a pilot program that includes the same functions and additional initiatives. The pilot program must train health care providers and other related providers to: (1) identify potential human trafficking victims, (2) work with law enforcement to report and facilitate communication with such victims, (3) refer victims to social or victims service agencies or organizations, and (4) provide such victims with coordinated care tailored to their circumstances."
257,Acadia National Park Boundary Clarification Act,"[None, Sen. King, Angus S., Jr. [I-ME]]","This bill confirms that the boundary of Acadia National Park in Maine includes approximately 1,441 acres of land and interests in the Schoodic Peninsula. "
258,Holocaust Insurance Accountability Act of 2017,"[None, Sen. Nelson, Bill [D-FL]]","This bill allows a beneficiary of a Holocaust-era life, dowry, education, annuity, property, or other insurance policy to bring a civil action in a U.S. district court against the insurer for the covered policy to recover proceeds due or, otherwise, to enforce any rights under the policy. "
259,No Stolen Trademarks Honored in America Act,"[Sen. Nelson, Bill [D-FL], Sen. Rubio, Marco [R-FL], Sen. Menendez, Robert [D-NJ], Sen. Burr, Richard [R-NC]]","This bill amends the Department of Commerce and Related Agencies Appropriations Act, 1999 to prohibit U.S. courts from recognizing, enforcing, or otherwise validating any assertion of rights by an individual (under current law, by a designated Cuban national) of a mark, trade name, or commercial name that was used in connection with a business or assets that were confiscated by the Cuban government unless the original owner of such mark or name, or such owner's bona fide successor, has expressly consented. The bill applies such prohibition only if the individual asserting the rights knew or had reason to know at the time of acquiring the rights asserted that the mark or name was the same or substantially similar to the mark or name used in connection with the business or assets that were confiscated. "
